atemp,dteday,hum,temp,windspeed
0.363625,2011/1/1,0.805833,0.344167,0.160446
0.353739,2011/1/2,0.696087,0.363478,0.248539
0.189405,2011/1/3,0.437273,0.196364,0.248309
0.212122,2011/1/4,0.590435,0.2,0.160296
0.22927,2011/1/5,0.436957,0.226957,0.1869
0.233209,2011/1/6,0.518261,0.204348,0.0895652
0.208839,2011/1/7,0.498696,0.196522,0.168726
0.162254,2011/1/8,0.535833,0.165,0.266804
0.116175,2011/1/9,0.434167,0.138333,0.36195
0.150888,2011/1/10,0.482917,0.150833,0.223267
0.191464,2011/1/11,0.686364,0.169091,0.122132
0.160473,2011/1/12,0.599545,0.172727,0.304627
0.150883,2011/1/13,0.470417,0.165,0.301
0.188413,2011/1/14,0.537826,0.16087,0.126548
0.248112,2011/1/15,0.49875,0.233333,0.157963
0.234217,2011/1/16,0.48375,0.231667,0.188433
0.176771,2011/1/17,0.5375,0.175833,0.194017
0.232333,2011/1/18,0.861667,,0.146775
0.298422,2011/1/19,0.741739,0.292174,0.208317
0.25505,2011/1/20,0.538333,0.261667,0.195904
0.157833,2011/1/21,0.457083,0.1775,0.353242
0.0790696,2011/1/22,0.4,0.0591304,0.17197
0.0988391,2011/1/23,0.436522,0.0965217,0.2466
0.11793,2011/1/24,0.491739,0.0973913,0.15833
0.234526,2011/1/25,0.616957,0.223478,0.129796
0.2036,2011/1/26,0.8625,0.2175,0.29385
0.2197,2011/1/27,0.6875,0.195,0.113837
0.223317,2011/1/28,0.793043,0.203478,0.1233
0.212126,2011/1/29,0.651739,0.196522,0.145365
0.250322,2011/1/30,0.722174,0.216522,0.0739826
0.18625,2011/1/31,0.60375,0.180833,0.187192
0.23453,2011/2/1,0.829565,0.192174,0.053213
0.254417,2011/2/2,0.775417,0.26,0.264308
0.177878,2011/2/3,0.437826,0.186957,0.277752
0.228587,2011/2/4,0.585217,0.211304,0.127839
0.243058,2011/2/5,0.929167,0.233333,0.161079
0.291671,2011/2/6,0.568333,0.285833,0.1418
0.303658,2011/2/7,0.738333,0.271667,0.0454083
0.198246,2011/2/8,0.537917,0.220833,0.36195
0.144283,2011/2/9,0.494783,0.134783,0.188839
0.149548,2011/2/10,0.437391,0.144348,0.221935
0.213509,2011/2/11,0.506364,0.189091,0.10855
0.232954,2011/2/12,0.544167,0.2225,0.203367
0.324113,2011/2/13,0.457391,0.316522,0.260883
0.39835,2011/2/14,0.375833,0.415,0.417908
0.254274,2011/2/15,0.314348,0.266087,0.291374
0.3162,2011/2/16,0.423478,0.318261,0.251791
0.428658,2011/2/17,0.505,0.435833,0.230104
0.511983,2011/2/18,0.516667,0.521667,0.264925
0.391404,2011/2/19,0.187917,0.399167,0.507463
0.27733,2011/2/20,0.407826,0.285217,0.223235
0.284075,2011/2/21,0.605,0.303333,0.307846
0.186033,2011/2/22,0.577778,0.182222,0.195683
0.245717,2011/2/23,0.423043,0.221739,0.094113
0.289191,2011/2/24,0.697391,0.295652,0.250496
0.350461,2011/2/25,0.712174,0.364348,0.346539
0.282192,2011/2/26,0.537917,0.2825,0.186571
0.351109,2011/2/27,0.68,0.343478,0.125248
0.400118,2011/2/28,0.876364,0.407273,0.289686
0.263879,2011/3/1,0.535,0.266667,0.216425
0.320071,2011/3/2,0.449583,0.335,0.307833
0.200133,2011/3/3,0.318333,0.198333,0.225754
0.255679,2011/3/4,0.610417,0.261667,0.203346
0.378779,2011/3/5,0.789167,0.384167,0.251871
0.366252,2011/3/6,0.948261,0.376522,0.343287
0.238461,2011/3/7,0.551304,0.261739,0.341352
0.3024,2011/3/8,0.420833,0.2925,0.12065
0.286608,2011/3/9,0.775417,0.295833,0.22015
0.385668,2011/3/10,0,0.389091,0.261877
0.305,2011/3/11,0.649565,0.316522,0.23297
0.32575,2011/3/12,0.594583,0.329167,0.220775
0.380091,2011/3/13,0.527391,0.384348,0.270604
0.332,2011/3/14,0.496957,0.325217,0.136926
0.318178,2011/3/15,0.655652,0.317391,0.184309
0.36693,2011/3/16,0.776522,0.365217,0.203117
0.410333,2011/3/17,0.602917,0.415,0.209579
0.527009,2011/3/18,0.525217,0.54,0.231017
0.466525,2011/3/19,0.379167,0.4725,0.368167
0.32575,2011/3/20,0.47375,0.3325,0.207721
0.409735,2011/3/21,0.737391,0.430435,0.288783
0.440642,2011/3/22,0.624583,0.441667,0.22575
0.337939,2011/3/23,0.839565,0.346957,0.234261
0.270833,2011/3/24,0.805833,0.285,0.243787
0.256312,2011/3/25,0.495,0.264167,0.230725
0.257571,2011/3/26,0.394167,0.265833,0.209571
0.250339,2011/3/27,0.493913,0.253043,0.1843
0.257574,2011/3/28,0.302174,0.264348,0.212204
