age,contact,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
30,cellular,487,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
39,telephone,346,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
25,telephone,227,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
38,telephone,17,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
47,cellular,58,1,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
32,cellular,128,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no
32,cellular,290,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no
41,cellular,44,2,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
31,cellular,68,1,999,1,failure,-0.1,93.2,-42,4.153,5195.8,no
35,telephone,170,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
25,cellular,301,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
36,cellular,148,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
36,telephone,97,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
47,telephone,211,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no
29,cellular,553,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
27,cellular,698,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
44,cellular,191,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
46,telephone,59,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
45,cellular,38,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
50,cellular,849,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
55,cellular,326,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
39,cellular,222,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes
29,cellular,626,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
40,cellular,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
44,telephone,388,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191,no
38,cellular,479,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
36,telephone,446,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
28,cellular,68,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
47,telephone,127,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
34,cellular,109,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
38,cellular,113,1,999,1,failure,-1.8,92.843,-50,1.687,5099.1,no
33,telephone,393,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
51,cellular,151,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no
30,telephone,256,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
48,cellular,42,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
28,telephone,525,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
36,telephone,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
46,cellular,499,1,999,0,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
31,cellular,84,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
20,cellular,137,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no
35,cellular,31,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no
38,telephone,430,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
