乗客ID,生存,乗客クラス,名前,性別
1,0,3,name1,male
2,1,1,name2,female
3,1,3,name3,female
4,1,1,name4,female
5,0,3,name5,male
6,0,3,name6,male
7,0,1,name7,male
8,0,3,name8,male
9,1,3,name9,female
10,1,2,name10,female
11,1,3,name11,female
12,1,1,name12,female
13,0,3,name13,male
14,0,3,name14,male
15,0,3,name15,female
16,1,2,name16,female
17,0,3,name17,male
18,1,2,name18,male
19,0,3,name19,female
20,1,3,name20,female
21,0,2,name21,male
22,1,2,name22,male
23,1,3,name23,female
24,1,1,name24,male
25,0,3,name25,female
26,1,3,name26,female
27,0,3,name27,male
28,0,1,name28,male
29,1,3,name29,female
30,0,3,name30,male
31,0,1,name31,male
32,1,1,name32,female
33,1,3,name33,female
34,0,2,name34,male
35,0,1,name35,male
36,0,1,name36,male
37,1,3,name37,male
38,0,3,name38,male
39,0,3,name39,female
40,1,3,name40,female
41,0,3,name41,female
42,0,2,name42,female
43,0,3,name43,male
44,1,2,name44,female
45,1,3,name45,female
46,0,3,name46,male
47,0,3,name47,male
48,1,3,name48,female
49,0,3,name49,male
50,0,3,name50,female
51,0,3,name51,male
52,0,3,name52,male
53,1,1,name53,female
54,1,2,name54,female
55,0,1,name55,male
56,1,1,name56,male
57,1,2,name57,female
58,0,3,name58,male
59,1,2,name59,female
60,0,3,name60,male
61,0,3,name61,male
62,1,1,name62,female
63,0,1,name63,male
64,0,3,name64,male
65,0,1,name65,male
66,1,3,name66,male
67,1,2,name67,female
68,0,3,name68,male
69,1,3,name69,female
70,0,3,name70,male
71,0,2,name71,male
72,0,3,name72,female
73,0,2,name73,male
74,0,3,name74,male
75,1,3,name75,male
76,0,3,name76,male
77,0,3,name77,male
78,0,3,name78,male
79,1,2,name79,male
80,1,3,name80,female
81,0,3,name81,male
82,1,3,name82,male
83,1,3,name83,female
84,0,1,name84,male
85,1,2,name85,female
86,1,3,name86,female
87,0,3,name87,male
88,0,3,name88,male
89,1,1,name89,female
90,0,3,name90,male
91,0,3,name91,male
92,0,3,name92,male
93,0,1,name93,male
94,0,3,name94,male
95,0,3,name95,male
96,0,3,name96,male
97,0,1,name97,male
98,1,1,name98,male
99,1,2,name99,female
100,0,2,name100,male
101,0,3,name101,female
102,0,3,name102,male
103,0,1,name103,male
104,0,3,name104,male
105,0,3,name105,male
106,0,3,name106,male
107,1,3,name107,female
108,1,3,name108,male
109,0,3,name109,male
110,1,3,name110,female
111,0,1,name111,male
112,0,3,name112,female
113,0,3,name113,male
114,0,3,name114,female
115,0,3,name115,female
116,0,3,name116,male
117,0,3,name117,male
118,0,2,name118,male
119,0,1,name119,male
120,0,3,name120,female
121,0,2,name121,male
122,0,3,name122,male
123,0,2,name123,male
124,1,2,name124,female
125,0,1,name125,male
126,1,3,name126,male
127,0,3,name127,male
128,1,3,name128,male
129,1,3,name129,female
130,0,3,name130,male
131,0,3,name131,male
132,0,3,name132,male
133,0,3,name133,female
134,1,2,name134,female
135,0,2,name135,male
136,0,2,name136,male
137,1,1,name137,female
138,0,1,name138,male
139,0,3,name139,male
140,0,1,name140,male
141,0,3,name141,female
142,1,3,name142,female
143,1,3,name143,female
144,0,3,name144,male
145,0,2,name145,male
146,0,2,name146,male
147,1,3,name147,male
148,0,3,name148,female
149,0,2,name149,male
150,0,2,name150,male
151,0,2,name151,male
152,1,1,name152,female
153,0,3,name153,male
154,0,3,name154,male
155,0,3,name155,male
156,0,1,name156,male
157,1,3,name157,female
158,0,3,name158,male
159,0,3,name159,male
160,0,3,name160,male
161,0,3,name161,male
162,1,2,name162,female
163,0,3,name163,male
164,0,3,name164,male
165,0,3,name165,male
166,1,3,name166,male
167,1,1,name167,female
168,0,3,name168,female
