id,age,job,marital,education,default,amount,housing
1,39,blue-collar,married,secondary,no,1756,yes
2,51,entrepreneur,married,primary,no,1443,no
3,36,management,single,tertiary,no,436,no
4,63,retired,married,secondary,no,474,no
5,31,management,single,tertiary,no,354,no
6,29,blue-collar,single,secondary,no,260,yes
7,37,services,married,secondary,no,52,yes
8,32,technician,single,secondary,no,449,yes
9,31,admin.,single,secondary,no,0,yes
10,32,self-employed,single,tertiary,no,1815,no
11,35,self-employed,single,tertiary,no,353,no
12,34,technician,divorced,secondary,no,1451,yes
13,34,admin.,single,tertiary,no,625,no
14,31,management,divorced,tertiary,no,883,yes
15,38,blue-collar,married,primary,no,5839,yes
16,71,technician,married,tertiary,no,383,no
17,62,management,married,tertiary,no,557,no
18,66,retired,married,secondary,no,154,no
19,46,blue-collar,married,primary,no,369,yes
20,29,admin.,single,tertiary,no,89,yes
21,28,self-employed,married,tertiary,no,112,yes
22,67,retired,married,primary,no,708,no
23,42,management,married,tertiary,no,4,yes
24,33,admin.,divorced,secondary,no,420,yes
25,39,services,single,secondary,no,158,yes
26,57,retired,divorced,tertiary,no,66,yes
27,43,management,single,tertiary,no,0,no
28,46,services,divorced,unknown,no,973,no
29,31,blue-collar,married,primary,no,-81,yes
30,36,technician,single,secondary,no,524,yes
31,33,technician,single,secondary,no,0,yes
32,52,admin.,single,unknown,no,2227,no
33,30,self-employed,single,tertiary,no,800,no
34,41,management,married,tertiary,no,-4,yes
35,29,blue-collar,married,secondary,no,-493,yes
36,56,management,married,tertiary,no,171,no
37,48,management,married,secondary,no,2204,yes
38,30,technician,single,secondary,no,601,no
39,60,housemaid,divorced,primary,no,1412,no
40,32,technician,married,secondary,no,1337,no
41,31,management,single,secondary,yes,0,no
42,29,management,married,tertiary,no,54,no
43,33,technician,married,tertiary,no,1126,yes
44,31,technician,single,secondary,no,691,yes
45,39,technician,married,tertiary,no,794,no
46,23,blue-collar,single,secondary,no,-95,yes
47,51,technician,divorced,secondary,no,107,no
48,39,housemaid,married,secondary,no,-146,yes
49,40,management,married,tertiary,no,1041,yes
50,69,admin.,married,secondary,no,813,no
51,32,admin.,divorced,secondary,no,2017,no
52,30,blue-collar,married,primary,no,236,yes
53,56,unemployed,divorced,tertiary,no,0,yes
54,32,management,single,tertiary,no,2343,no
55,49,services,married,primary,no,1830,yes
56,45,management,divorced,tertiary,no,2813,yes
57,45,entrepreneur,married,primary,no,58,yes
58,55,technician,single,tertiary,no,-703,yes
59,77,retired,married,primary,no,2590,no
60,30,management,married,tertiary,no,0,no
61,56,technician,married,secondary,no,4073,no
62,54,management,married,tertiary,no,500,yes
63,32,technician,single,secondary,no,5205,no
64,43,blue-collar,divorced,primary,no,49,yes
65,48,unemployed,married,secondary,no,1811,yes
66,50,management,married,tertiary,no,89,no
67,50,admin.,single,secondary,no,642,no
68,35,blue-collar,married,unknown,no,-205,yes
69,39,admin.,single,secondary,no,720,yes
70,36,services,single,secondary,no,755,no
71,30,technician,single,tertiary,yes,23,no
72,43,admin.,single,secondary,no,-495,yes
73,37,services,divorced,secondary,no,532,yes
74,53,services,divorced,primary,no,200,no
75,45,unknown,married,unknown,no,19706,yes
76,30,blue-collar,single,secondary,no,397,yes
77,53,management,divorced,tertiary,no,-187,yes
78,45,entrepreneur,married,secondary,no,-479,yes
79,51,admin.,married,secondary,no,3025,no
80,35,blue-collar,single,primary,no,-269,yes
81,53,services,married,unknown,no,2009,no
82,33,blue-collar,married,secondary,no,-253,yes
83,49,management,single,secondary,no,-18,yes
84,36,admin.,single,secondary,no,0,no
85,41,unknown,single,tertiary,no,1567,no
86,36,admin.,single,unknown,no,-69,yes
87,34,management,married,tertiary,no,1273,no
88,37,retired,married,secondary,no,-252,no
89,47,retired,divorced,secondary,no,0,no
