id,loan,contact,day,month,duration,campaign,previous,y
1,no,cellular,3,apr,370.0552374,1,0,1
2,no,cellular,18,feb,233.9989326,10,0,1
3,no,cellular,13,apr,,1,2,0
4,no,cellular,25,jan,252.5258084,1,0,0
5,no,cellular,30,apr,,1,2,0
6,no,sending _document,2,jun,238.3853678,14,0,0
7,no,cellular,6,sep,350.2699888,1,9,1
8,no,cellular,18,may,359.9121301,1,8,0
9,no,cellular,7,may,292.5034035,2,2,0
10,no,telephone,10,aug,184.9038373,1,2,0
11,no,cellular,12,aug,,1,0,0
12,no,sending _document,30,may,,15,0,1
13,yes,sending _document,31,aug,280.6742143,1,0,1
14,no,cellular,5,mar,329.6653707,2,1,1
15,no,sending _document,4,jun,270.2086529,2,0,0
16,no,cellular,27,apr,362.3259086,3,0,1
17,no,cellular,14,aug,253.1248279,1,0,0
18,no,cellular,15,jul,338.5518583,5,2,1
19,no,sending _document,13,may,336.7783133,2,0,0
20,no,cellular,22,jul,308.71661,1,0,0
21,yes,cellular,5,may,360.6662545,1,0,0
22,no,cellular,11,sep,325.4765583,2,0,1
23,no,cellular,17,jul,374.5080696,1,0,0
24,no,telephone,6,feb,325.6194577,2,0,0
25,no,sending _document,6,jun,267.7259593,2,0,0
26,no,cellular,11,may,381.2909773,2,0,0
27,no,cellular,11,aug,210.3409796,2,0,0
28,no,cellular,2,feb,,1,0,0
29,no,cellular,22,jul,436.1086715,1,0,1
30,no,cellular,8,apr,296.4305237,1,0,0
31,yes,cellular,9,feb,371.0295558,2,4,0
32,no,cellular,24,feb,244.1282389,2,0,0
33,no,sending _document,6,may,195.2279532,2,0,1
34,no,cellular,8,may,303.96021,1,1,0
35,no,cellular,18,may,349.1089935,2,4,1
36,yes,telephone,17,jul,281.9729419,2,0,0
37,no,cellular,12,may,364.8095046,1,0,0
38,no,cellular,27,feb,,1,0,0
39,no,cellular,22,jul,340.3937911,4,0,1
40,no,sending _document,26,may,,6,0,0
41,no,cellular,18,nov,,2,0,0
42,no,cellular,28,jan,,3,0,0
43,no,sending _document,6,sep,296.237444,1,5,0
44,no,cellular,8,may,308.9975698,1,0,0
45,no,telephone,2,feb,,1,0,0
46,no,sending _document,14,may,247.8248541,3,0,0
47,no,sending _document,19,jun,228.9333829,1,0,0
48,yes,cellular,20,aug,389.4651006,2,0,0
49,no,sending _document,12,jun,381.6909888,1,0,1
50,no,telephone,28,sep,247.2734618,2,0,0
51,yes,cellular,17,jul,358.2410428,1,0,1
52,no,cellular,13,may,248.3286108,1,1,0
53,no,cellular,30,jul,464.9362915,6,0,1
54,no,cellular,18,jul,,1,0,0
55,no,cellular,13,aug,394.5057466,1,1,1
56,no,cellular,13,may,424.9885035,1,0,1
57,no,telephone,13,may,282.509374,3,3,0
58,no,cellular,8,may,424.4730847,3,0,1
59,no,telephone,15,feb,,5,15,1
60,no,cellular,21,aug,,2,0,0
61,no,cellular,27,aug,312.1784478,5,0,0
62,no,cellular,11,aug,,4,0,1
63,no,cellular,20,nov,,1,0,0
64,no,sending _document,9,may,334.0922065,1,0,0
65,no,telephone,31,jul,,3,0,1
66,no,sending _document,20,jun,215.9380587,2,0,0
67,no,cellular,18,nov,236.1847598,1,0,0
68,no,sending _document,23,may,344.5814404,14,0,1
69,no,telephone,18,nov,333.3138296,3,0,0
70,no,sending _document,18,jun,183.4804304,1,0,1
71,no,cellular,12,aug,,4,0,0
72,yes,sending _document,23,may,370.9662395,1,0,0
73,no,sending _document,11,jun,331.7501453,1,0,1
74,no,cellular,17,nov,289.9288388,3,0,1
75,no,cellular,3,feb,339.4496747,3,0,0
76,no,sending _document,28,may,351.35414,7,0,1
77,no,cellular,31,jul,406.9489866,2,0,0
78,no,cellular,30,jul,359.6848084,2,0,1
79,no,cellular,7,may,275.5851523,1,1,0
80,no,sending _document,9,jun,365.3771051,10,0,1
81,no,cellular,16,jun,,1,0,0
82,no,cellular,12,may,333.4684701,3,0,1
83,no,cellular,11,may,,3,4,1
84,no,cellular,4,feb,,2,0,0
85,no,cellular,1,jul,225.8089109,2,0,0
86,no,sending _document,27,may,,2,0,1
87,no,sending _document,11,aug,263.3797192,2,0,1
88,no,cellular,22,jul,,3,0,0
89,no,sending _document,19,jun,215.9823499,1,0,0
90,no,cellular,20,aug,328.8971513,5,0,0
91,no,sending _document,14,may,243.8566001,2,0,0
92,no,cellular,30,mar,360.4890061,8,0,1
93,no,sending _document,6,jun,468.1560851,8,0,1
94,no,cellular,13,may,285.2390569,3,0,1
95,no,telephone,28,oct,,1,0,1
96,yes,cellular,21,jul,315.2654109,4,0,0
97,no,cellular,17,apr,,2,0,1
98,no,sending _document,13,may,305.8724214,2,0,0
99,no,cellular,30,apr,197.171857,1,0,1
100,no,telephone,9,jul,385.2955206,4,0,1
101,no,cellular,20,aug,,2,0,0
102,yes,cellular,3,aug,465.4813023,2,7,1
103,no,sending _document,5,may,,2,0,1
104,no,sending _document,4,jun,443.2439068,1,0,0
105,no,cellular,18,may,279.1254438,2,0,0
106,no,cellular,8,may,293.2714373,3,0,1
107,no,sending _document,21,may,328.5312578,1,0,0
108,no,cellular,29,aug,266.5518578,2,0,0
109,no,cellular,29,aug,181.1052713,9,0,1
110,no,cellular,8,may,,1,0,0
111,yes,cellular,20,nov,327.5536632,6,0,1
112,no,cellular,29,jan,,2,1,0
113,no,cellular,26,aug,286.1212309,2,0,0
114,no,cellular,3,apr,394.4281776,2,12,0
115,no,cellular,21,nov,,1,0,0
116,no,cellular,13,may,228.0245441,1,0,0
117,yes,sending _document,14,may,198.3542323,1,0,0
118,yes,telephone,24,jul,295.2001681,5,0,0
119,no,sending _document,28,may,238.3650975,2,0,0
120,no,cellular,18,may,228.3074724,2,0,0
121,no,cellular,14,aug,,2,0,0
122,yes,sending _document,4,jul,364.6650056,1,0,0
123,no,cellular,12,mar,,4,0,1
124,no,telephone,14,jun,,1,17,0
125,no,cellular,27,oct,273.6502321,1,0,0
126,yes,cellular,8,jul,315.9066482,2,0,0
127,no,cellular,28,jan,,1,0,0
128,yes,cellular,3,apr,414.9510147,2,0,0
129,no,cellular,27,aug,,3,0,0
130,no,cellular,12,aug,230.7104588,5,0,0
131,no,cellular,8,aug,,4,0,0
132,no,cellular,7,aug,,3,0,0
133,yes,sending _document,3,jun,331.4916035,3,0,0
134,yes,cellular,18,nov,388.357218,1,8,0
135,no,cellular,5,feb,,8,0,1
136,yes,cellular,5,may,444.4978288,1,6,0
137,yes,cellular,20,nov,,4,0,0
138,no,cellular,25,may,,1,0,0
139,no,telephone,1,jun,265.1948284,2,0,0
140,no,telephone,22,oct,,1,0,0
141,no,cellular,18,may,294.6323115,1,1,0
142,no,cellular,18,may,306.602715,7,1,0
143,no,cellular,20,apr,339.7014587,3,1,1
144,no,sending _document,18,jun,,1,0,0
145,no,cellular,26,aug,188.1716374,4,0,1
146,no,sending _document,4,jun,294.6931857,1,0,0
147,no,cellular,13,may,335.5477049,3,0,1
148,yes,cellular,8,jul,370.0415788,1,0,0
149,no,cellular,25,jul,315.1893753,3,0,1
150,no,cellular,16,jul,267.0062753,1,0,0
151,no,cellular,13,may,245.5085768,9,0,1
152,no,sending _document,24,jul,,1,0,0
153,no,telephone,19,nov,227.060554,1,0,0
154,no,sending _document,5,jun,246.5385546,1,0,0
155,no,sending _document,29,may,328.1313017,1,0,0
156,no,cellular,5,feb,,1,3,0
157,yes,sending _document,6,jun,276.8418359,3,0,1
158,no,cellular,5,may,319.3870683,1,4,0
159,no,cellular,20,apr,,1,0,0
160,no,cellular,22,aug,,3,0,0
161,yes,sending _document,21,may,377.6205374,2,0,0
162,no,cellular,16,nov,206.1484188,2,4,1
163,no,cellular,15,jul,112.549119,2,0,0
164,no,telephone,4,may,373.8425567,5,2,1
165,yes,cellular,7,aug,299.5105657,2,0,0
166,no,cellular,6,aug,,1,0,0
167,no,cellular,31,jul,179.8982786,2,0,0
168,no,sending _document,26,may,342.0418183,2,0,1
