îNóÓ	ê´ï 	ãŒë±îNêî	íSìñå⁄ãqêî	âcã∆îÑè„	îNïÓ
20	F	0	5	700000 	3130087 
38	M	6	4	441600 	3643832 
26	F	0	6	909000 	3162344 
50	M	11	6	324000 	4265395 
50	F	7	7	1414000 	4000936 
47	F	27	7	1048600 	5124287 
32	M	6	4	198000 	3747533 
32	F	0	7	642600 	3184123 
40	M	8	5	257500 	3876804 
32	F	10	6	115200 	3953067 
39	M	8	2	254800 	3762710 
32	M	3	3	278100 	3343406 
37	F	10	7	1019200 	4280003 
25	M	3	5	186000 	3357184 
38	M	9	7	960400 	3932434 
28	F	5	1	144000 	3343964 
33	F	6	2	41200 	3553683 
29	F	8	1	181800 	3944372 
20	M	0	5	707000 	3101108 
21	F	1	3	151500 	3211357 
23	F	2	7	485100 	3254171 
39	F	2	2	171200 	3459328 
39	F	0	6	370800 	3214015 
21	F	1	2	256800 	3096302 
39	F	17	4	44000 	4146291 
22	M	2	6	1091400 	3274725 
29	M	0	7	515200 	3195857 
36	M	2	7	651000 	3488547 
32	M	2	5	656500 	3424948 
46	F	12	5	902500 	4413797 
35	M	9	1	95400 	4013382 
26	F	0	1	102000 	3133543 
30	F	2	1	47000 	3257928 
48	F	2	6	576000 	3604017 
25	M	3	7	195300 	3355440 
36	M	3	7	325500 	3511713 
31	F	8	6	403200 	3884936 
47	M	7	7	529200 	4000197 
36	M	13	3	529200 	4443897 
36	M	7	3	475200 	3825728 
31	M	11	6	858000 	3953912 
26	M	6	4	363600 	3571265 
34	F	2	1	164900 	3406110 
37	F	9	1	83200 	3744404 
23	M	0	4	171200 	3083628 
27	F	6	7	604800 	3615314 
35	F	8	2	285000 	3657111 
29	M	4	7	1303400 	3547818 
48	F	20	2	280000 	4427283 
35	M	0	2	108000 	3198318 
32	M	11	5	343000 	4030863 
40	F	12	4	307200 	4558046 
28	F	7	5	265000 	3592797 
49	M	1	7	1146600 	3567069 
31	M	2	1	9900 	3189722 
38	M	4	7	441000 	3526744 
44	M	23	6	777600 	5644996 
41	M	18	7	1209600 	4630549 
21	F	0	1	198000 	3097233 
42	F	22	4	700400 	5398346 
25	M	2	6	294000 	3247423 
35	M	2	3	228900 	3352436 
22	M	2	1	20400 	3284052 
23	M	2	2	122400 	3305216 
28	F	7	2	60000 	3516223 
50	F	2	4	77600 	3446188 
44	M	20	7	1383200 	5456847 
41	M	8	7	1041600 	4142767 
33	M	8	2	348800 	3923909 
24	M	0	5	882000 	3197410 
40	M	0	4	36800 	3269442 
33	F	10	3	150000 	3792538 
23	M	3	1	21800 	3329156 
42	F	22	7	1009400 	4827375 
27	F	3	5	816000 	3468192 
20	F	0	3	280800 	3128999 
36	F	15	3	172800 	4492861 
26	F	3	7	149800 	3445309 
49	M	21	5	690000 	5510530 
36	M	12	3	486000 	4176102 
39	F	19	3	445500 	5004000 
43	F	20	5	424000 	5166767 
20	F	0	1	110000 	3014109 
25	M	4	3	249600 	3357853 
48	F	9	6	945000 	3919590 
48	F	0	2	380000 	3401855 
20	M	0	4	192000 	3056059 
45	F	6	6	111600 	3900542 
26	F	0	6	654000 	3153984 
40	F	1	4	515200 	3387957 
26	F	1	2	414200 	3284639 
24	M	2	3	642000 	3333435 
24	F	1	7	450800 	3225773 
22	F	0	4	80800 	3000254 
43	M	8	1	87300 	3912501 
41	M	13	2	309400 	4418867 
44	F	7	2	58200 	3960161 
25	M	0	7	1178100 	3190759 
36	M	9	5	799000 	3742714 
30	F	6	2	306000 	3712271 
22	M	0	7	1343300 	3274433 
24	M	3	1	197600 	3292675 
40	F	10	4	200000 	4117225 
28	F	2	6	540000 	3407371 
26	F	3	3	381600 	3379488 
36	F	12	7	475300 	3944543 
48	M	23	5	52500 	5303230 
22	M	2	1	91800 	3187257 
25	F	1	3	520200 	3169386 
41	M	10	4	448800 	4193781 
36	F	8	4	680000 	3835973 
20	M	0	6	185400 	3055097 
49	F	13	4	636000 	4614261 
28	M	2	3	138000 	3274990 
48	F	21	5	720000 	4719302 
43	F	8	4	42000 	3865700 
32	M	10	5	100000 	3993052 
49	M	6	5	728000 	4012068 
40	F	16	3	59400 	4076735 
39	F	10	6	360000 	3984241 
31	M	4	1	22000 	3496285 
27	F	3	5	872000 	3503652 
35	M	14	6	1296000 	4521940 
43	M	6	6	990000 	3829948 
49	M	22	2	172800 	5199961 
42	M	8	4	254400 	3857552 
35	M	10	3	396000 	3903787 
30	M	8	7	543200 	3739838 
34	M	13	1	126000 	4027841 
