生年月日,投打,年齢,ポジション,プロ通算年,出身地,身長,血液型,体重,推定年俸,経歴,試合,勝利,敗北,セーブ,ホールド,HP,完投,完封勝,無四球,勝率,打者,投球回,被安打,被本塁打,与四球,敬遠,与死球,奪三振,暴投,ボーク,失点,自責点,防御率,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
1988-11-01,右投右打,33,投手,8,兵庫,188,A型,97,"90,000",駒大苫小牧高,23,4,9,0,0,0,1,0,0,0.308,624,155.2,131,17,29,0,5,126,6,1,54,52,3.01,1.03,7.57,0.98,7.28,1.97,3.58,4.34,0.764,1
1989-10-11,右投右打,32,投手,9,神奈川,186,A型,92,"80,000",東海大相模高 - 東海大,19,6,7,0,0,0,2,1,0,0.462,465,115.2,90,15,25,1,7,102,1,0,41,41,3.19,0.99,7,1.17,7.94,2.49,3.85,4.08,0.757,1.1
1981-04-09,右投右打,40,投手,11,アメリカ,193,不明,102,"50,000",アリゾナ州大 - ブルワーズ - アストロズ - オリオールズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-08,右投右打,30,投手,8,徳島,176,A型,96,"46,000",海部高 - 三菱自動車倉敷オーシャンズ,30,1,3,15,0,1,0,0,0,0.25,118,29,20,6,10,0,0,26,0,0,13,13,4.03,1.03,6.21,1.86,8.07,3.1,5.05,2.6,0.708,1.24
1993-01-30,右投左打,29,投手,11,愛知,187,A型,89,"40,000",蒲郡高,13,10,3,0,0,0,0,0,0,0.769,340,84.2,60,2,27,0,2,90,7,0,25,25,2.66,1.03,6.38,0.21,9.57,3.08,2.33,3.33,0.736,1.38
1989-11-28,右投両打,32,投手,2,ドミニカ共和国,185,不明,88,"34,000",サントドミンゴ自治大 - パイレーツ - 韓国・SK,14,5,5,0,0,0,0,0,0,0.5,317,73,82,13,23,0,3,54,2,1,40,38,4.68,1.44,10.11,1.6,6.66,3.21,5.02,2.35,0.737,1.05
1988-04-23,右投右打,33,投手,9,兵庫,180,AB型,88,"30,000",柳学園高 - 福井工業大 - NTT西日本,33,0,3,8,9,9,0,0,0,0,131,30.2,32,4,7,1,1,23,1,0,17,17,4.99,1.27,9.39,1.17,6.75,2.35,4,3.29,0.639,0.98
1988-09-26,左投左打,33,投手,11,京都,183,O型,83,"30,000",京都外大西高 - 佛教大,22,7,11,0,0,0,1,0,1,0.389,566,143.1,121,12,26,1,2,118,1,0,48,47,2.95,1.03,7.6,0.75,7.41,1.76,3.13,4.54,0.745,1
1990-12-17,右投左打,31,投手,9,滋賀,178,A型,82,"30,000",滋賀・八幡商 - 三重中京大,23,11,5,0,0,0,2,1,1,0.688,584,144.2,123,18,35,0,3,152,3,0,56,51,3.17,1.09,7.65,1.12,9.46,2.36,3.42,4.34,0.769,1.29
1992-10-02,右投右打,29,投手,7,東京,179,O型,88,"28,000",帝京高 - 亜細亜大,60,3,2,1,27,30,0,0,0,0.6,229,55,58,2,14,1,3,39,0,0,21,20,3.27,1.31,9.49,0.33,6.38,2.78,3.05,2.79,0.753,0.96
1991-03-01,右投右打,30,投手,6,ベネズエラ,188,不明,95,"26,000",セシリオアコスタ高 - メキシコ,62,1,1,42,0,1,0,0,0,0.5,229,62.1,40,0,8,2,0,58,1,0,9,8,1.16,0.77,5.78,0,8.37,1.16,1.55,7.25,0.833,1.06
1995-10-30,左投左打,26,投手,8,神奈川,174,A型,74,"25,000",桐光学園高,43,0,2,24,0,0,0,0,0,0,172,43,22,1,21,1,1,59,1,0,3,3,0.63,1,4.6,0.21,12.35,4.6,2.14,2.81,0.953,1.86
1984-12-04,右投右打,37,投手,15,宮城,180,A型,77,"25,000",名取北高 - 東北学院大,25,9,10,0,0,0,1,1,1,0.474,620,149,149,17,34,0,1,131,1,0,62,57,3.44,1.23,9,1.03,7.91,2.11,3.55,3.85,0.76,1.11
1985-06-02,左投左打,36,投手,14,兵庫,180,O型,80,"25,000",市立尼崎高 - 関西学院大,50,1,2,0,15,16,0,0,0,0.333,189,44.1,42,3,15,1,4,49,3,0,20,18,3.65,1.29,8.53,0.61,9.95,3.86,3.01,3.27,0.741,1.44
1988-11-09,右投右打,33,投手,3,アメリカ,191,不明,95,"21,500",オクラホマ大 - アスレチックス - ドジャース,11,1,6,0,0,0,0,0,0,0.143,262,60,76,3,15,0,3,26,3,0,41,39,5.85,1.52,11.4,0.45,3.9,2.7,3.8,1.73,0.604,0.68
1992-12-04,右投右打,29,投手,1,ドミニカ共和国,193,不明,100,"20,800",,24,3,3,0,6,7,0,0,0,0.5,243,59.1,55,6,14,1,0,48,3,0,25,23,3.49,1.16,8.34,0.91,7.28,2.12,3.47,3.43,0.73,1.04
1985-07-21,左投右打,36,投手,10,台湾,183,O型,90,"20,600",国立台湾体育学院,2,1,0,0,0,0,0,0,0,1,39,9.1,10,0,3,0,0,7,0,0,5,4,3.86,1.39,9.64,0,6.75,2.89,2.58,2.33,0.692,1.07
1990-11-10,右投右打,31,投手,13,三重,181,B型,81,"20,000",菰野高,24,6,9,0,0,0,2,0,1,0.4,610,143.2,143,12,40,6,4,95,2,0,68,60,3.76,1.27,8.96,0.75,5.95,2.76,3.68,2.38,0.726,0.94
1989-10-25,右投右打,32,投手,10,和歌山,178,B型,80,"20,000",市立和歌山商 - 関西国際大,67,3,6,38,0,3,0,0,0,0.333,248,64.1,43,5,15,1,0,68,2,0,17,16,2.24,0.9,6.02,0.7,9.51,2.1,2.67,4.53,0.792,1.29
1984-06-26,右投右打,37,投手,12,静岡,181,A型,77,"20,000",静岡高 - 駒沢大 - 東芝,15,3,6,0,1,1,0,0,0,0.333,309,71,77,8,29,0,2,45,2,0,47,39,4.94,1.49,9.76,1.01,5.7,3.93,4.63,1.55,0.69,1.04
1989-03-04,右投右打,32,投手,3,ドミニカ共和国,183,不明,95,"16,000",エルボニートデサンイシドロ高 - ドジャース - レッドソックス - ダイヤモンドバックス,46,1,0,7,13,14,0,0,0,1,175,41.1,38,3,12,0,2,34,1,0,15,13,2.83,1.21,8.27,0.65,7.4,3.05,3.43,2.83,0.796,1.11
1990-05-16,右投右打,31,投手,9,愛知,171,A型,80,"16,000",愛知・成章高 - 創価大,23,9,6,0,0,0,2,1,2,0.6,529,128.1,132,15,30,3,1,97,2,0,64,59,4.14,1.26,9.26,1.05,6.8,2.17,3.78,3.23,0.703,0.99
